abbr,id,fips,name,collection_date,sum_adm_all_covid_confirmed,pct_chg_avg_adm_all_covid_confirmed_per_100k,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,avg_percent_inpatient_beds_occupied_covid_confirmed,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid,mmwrweek_end,change,change_text,burden,burden_text,covid_pct_of_total_weekly,covid_deaths_3_month_period,aa_covid_rate_3_month_period,data_as_of,covid_deaths_total,aa_covid_rate_total,data_period_end,mmwrweek_end_testing,level,perc_diff,percent_pos,percent_pos_2_week,percent_pos_4_week,number_tested,number_tested_2_week,number_tested_4_week,pct_change_wk_weekly,pct_diff_wk_weekly,data_update_dte
RMI,68,68,Republic of Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-04 14:06:00
SC,45,45,South Carolina,2024-02-24,102854,-10,368,7.15,2.9,-0.2,2.4,0.4,2024-02-24,-12.3%,Moderate Decrease (-19.9% to -10.0%),2.6%,Low (1.5% to 2.9%),NA,381,6.1,2024-02-29,22019,340.3,2024-02-24,2024-02-24,Region 4,-1.2,10.1,11.7,11.7,5707,18220,38884,NA,NA,2024-03-04 14:06:00
SD,46,46,South Dakota,2024-02-24,21186,-17.2,48,5.43,1.8,-0.1,1.9,-0.4,2024-02-24,-42.6%,Substantial Decrease (< -19.9%),0.8%,Minimal (< 1.5%),0,58,5.3,2024-02-29,3403,311,2024-02-24,2024-02-24,Region 8,-0.1,6.8,7,7.9,3645,8047,16619,NA,0,2024-03-04 14:06:00
TN,47,47,Tennessee,2024-02-24,139946,-10.9,361,5.29,1.8,-0.1,1.5,-0.1,2024-02-24,-3.0%,Stable (-9.9% to 9.9%),2.2%,Low (1.5% to 2.9%),2.6,563,6.9,2024-02-29,29748,358.9,2024-02-24,2024-02-24,Region 4,-1.2,10.1,11.7,11.7,5707,18220,38884,-7.1,-0.2,2024-03-04 14:06:00
TX,48,48,Texas,2024-02-24,645230,-12.9,1530,5.28,2.7,-0.2,3.3,-0.2,2024-02-24,-20.3%,Substantial Decrease (< -19.9%),1.6%,Low (1.5% to 2.9%),2.2,1095,4.1,2024-02-29,104549,364,2024-02-24,2024-02-24,Region 6,-0.7,8.4,10,10.5,9485,36980,76790,-4.3,-0.1,2024-03-04 14:06:00
USA,0,00,United States of America,2024-02-24,6851629,-10.3,17310,5.21,2.3,-0.2,2.2,-0.1,2024-02-24,-14.6%,Moderate Decrease (-19.9% to -10.0%),1.5%,Low (1.5% to 2.9%),2.1,21194,5.4,2024-02-29,1181607,295.8,2024-02-24,2024-02-24,National,-0.9,7.4,8.9,9.6,79789,216133,432918,-8.7,-0.2,2024-03-04 14:06:00
UT,49,49,Utah,2024-02-24,50861,-13,87,2.71,1.2,-0.1,1.1,-0.2,2024-02-24,7.2%,Stable (-9.9% to 9.9%),1.3%,Minimal (< 1.5%),NA,92,3.4,2024-02-29,5721,204.8,2024-02-24,2024-02-24,Region 8,-0.1,6.8,7,7.9,3645,8047,16619,NA,NA,2024-03-04 14:06:00
VA,51,51,Virginia,2024-02-24,135504,-4,574,6.72,2.6,0,2.5,-0.4,2024-02-24,-15.0%,Moderate Decrease (-19.9% to -10.0%),1.8%,Low (1.5% to 2.9%),2.3,672,6.8,2024-02-29,24767,246.9,2024-02-24,2024-02-24,Region 3,2.1,7.7,6.8,8.3,4122,12589,23328,-8,-0.2,2024-03-04 14:06:00
VI,78,78,Virgin Islands,2024-02-24,628,NA,0,0,0.1,-0.5,0,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-24,2024-02-24,Region 2,-0.1,6,7.6,9.3,5604,11203,22972,NA,NA,2024-03-04 14:06:00
VT,50,50,Vermont,2024-02-24,7257,0,26,4.17,1.5,-0.4,1.1,-0.2,2024-02-24,-31.3%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),NA,58,6.5,2024-02-29,1145,131.2,2024-02-24,2024-02-24,Region 1,-1.7,5.9,7.8,9,5493,11933,23772,NA,NA,2024-03-04 14:06:00
WA,53,53,Washington,2024-02-24,84388,-10.2,254,3.34,2.4,-0.4,1.6,-0.4,2024-02-24,-9.8%,Stable (-9.9% to 9.9%),1.7%,Low (1.5% to 2.9%),NA,363,4.4,2024-02-29,15816,182.5,2024-02-24,2024-02-24,Region 10,-0.4,8,8.6,9.2,7730,15992,32466,NA,NA,2024-03-04 14:06:00
WI,55,55,Wisconsin,2024-02-24,136643,-7.2,284,4.88,2.2,-0.2,1.9,-0.5,2024-02-24,-19.7%,Moderate Decrease (-19.9% to -10.0%),1.4%,Minimal (< 1.5%),2.2,423,5.7,2024-02-29,17870,241.5,2024-02-24,2024-02-24,Region 5,-1.5,7.3,9,9.4,23301,69053,135389,-8.3,-0.2,2024-03-04 14:06:00
WV,54,54,West Virginia,2024-02-24,47138,8,108,6.03,2.4,0,2.4,-0.2,2024-02-24,-3.3%,Stable (-9.9% to 9.9%),1.4%,Minimal (< 1.5%),NA,184,7.3,2024-02-29,9019,362.6,2024-02-24,2024-02-24,Region 3,2.1,7.7,6.8,8.3,4122,12589,23328,NA,NA,2024-03-04 14:06:00
WY,56,56,Wyoming,2024-02-24,12144,-26.3,14,2.42,0.6,-0.3,0.3,0.3,2024-02-24,-30.7%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),NA,50,7.4,2024-02-29,2242,318.8,2024-02-24,2024-02-24,Region 8,-0.1,6.8,7,7.9,3645,8047,16619,NA,NA,2024-03-04 14:06:00
AK,2,02,Alaska,2024-02-17,10418,-26.5,36,4.92,2.7,-0.1,2.1,1,2024-02-17,-25.2%,Substantial Decrease (< -19.9%),2.5%,Low (1.5% to 2.9%),0,13,NA,2024-02-22,1562,234.6,2024-02-17,2024-02-17,Region 10,-0.3,8.3,9.2,9.6,7436,16097,32459,NA,0,2024-02-26 14:36:00
AL,1,01,Alabama,2024-02-17,126668,33,431,8.79,2.6,0.1,3.2,0.1,2024-02-17,-11.9%,Moderate Decrease (-19.9% to -10.0%),2.3%,Low (1.5% to 2.9%),NA,347,5.6,2024-02-22,22983,369.1,2024-02-17,2024-02-17,Region 4,-1.2,10.8,12,11.6,5796,20348,40407,NA,NA,2024-02-26 14:36:00
AR,5,05,Arkansas,2024-02-17,72145,-18.1,172,5.7,2,0.1,1.7,-0.7,2024-02-17,2.4%,Stable (-9.9% to 9.9%),1.8%,Low (1.5% to 2.9%),NA,235,6.3,2024-02-22,12961,349.1,2024-02-17,2024-02-17,Region 6,-2.2,8.6,11,10.7,12655,40326,75499,NA,NA,2024-02-26 14:36:00
AS,60,60,American Samoa,2024-02-17,225,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-26 14:36:00
AZ,4,04,Arizona,2024-02-17,163705,-15.8,298,4.09,1.6,-0.3,1.7,0.2,2024-02-17,-21.8%,Substantial Decrease (< -19.9%),1.2%,Minimal (< 1.5%),NA,412,4.5,2024-02-22,30458,332.9,2024-02-17,2024-02-17,Region 9,-2.6,6.3,9.3,9.9,3391,11857,26383,NA,NA,2024-02-26 14:36:00
CA,6,06,California,2024-02-17,665167,-6.2,1882,4.76,2.5,-0.3,1.8,-0.2,2024-02-17,-9.8%,Stable (-9.9% to 9.9%),1.0%,Minimal (< 1.5%),1.3,1738,4,2024-02-22,112152,253.1,2024-02-17,2024-02-17,Region 9,-2.6,6.3,9.3,9.9,3391,11857,26383,-50,-1.3,2024-02-26 14:36:00
CO,8,08,Colorado,2024-02-17,105740,-0.4,223,3.87,1.3,-0.2,1.4,0.3,2024-02-17,-15.2%,Moderate Decrease (-19.9% to -10.0%),1.0%,Minimal (< 1.5%),NA,268,4.6,2024-02-22,15552,257,2024-02-17,2024-02-17,Region 8,-0.5,6.4,8,8.3,3289,8470,17003,NA,NA,2024-02-26 14:36:00
CT,9,09,Connecticut,2024-02-17,71503,-6.4,233,6.54,2.4,-0.4,2.1,-0.5,2024-02-17,-12.8%,Moderate Decrease (-19.9% to -10.0%),1.7%,Low (1.5% to 2.9%),3.5,272,5.6,2024-02-22,12789,262,2024-02-17,2024-02-17,Region 1,-0.6,7.4,8.4,10.2,5724,12108,23863,20.7,0.6,2024-02-26 14:36:00
DC,11,11,District of Columbia,2024-02-17,17796,-1.5,67,9.49,2.8,-0.1,2.1,-0.2,2024-02-17,5.8%,Stable (-9.9% to 9.9%),1.5%,Low (1.5% to 2.9%),0,23,3.6,2024-02-22,1929,290.1,2024-02-17,2024-02-17,Region 3,-3.2,5.5,9,9.8,6628,10149,20630,NA,NA,2024-02-26 14:36:00
DE,10,10,Delaware,2024-02-17,21652,-14.9,63,6.47,3.3,-0.4,2.8,-1.5,2024-02-17,8.8%,Stable (-9.9% to 9.9%),2.1%,Low (1.5% to 2.9%),NA,104,8.1,2024-02-22,3624,271.6,2024-02-17,2024-02-17,Region 3,-3.2,5.5,9,9.8,6628,10149,20630,NA,NA,2024-02-26 14:36:00
FL,12,12,Florida,2024-02-17,602775,-9.3,1697,7.9,2.5,-0.2,2.9,0.1,2024-02-17,-17.2%,Moderate Decrease (-19.9% to -10.0%),1.9%,Low (1.5% to 2.9%),3.2,1087,3.2,2024-02-22,82406,256.2,2024-02-17,2024-02-17,Region 4,-1.2,10.8,12,11.6,5796,20348,40407,3.2,0.1,2024-02-26 14:36:00
FSM,64,64,Federated States of Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-26 14:36:00
GA,13,13,Georgia,2024-02-17,253056,8.3,863,8.13,3.8,0.2,4.9,0.5,2024-02-17,-2.0%,Stable (-9.9% to 9.9%),2.0%,Low (1.5% to 2.9%),3.2,487,4.5,2024-02-22,37139,325.5,2024-02-17,2024-02-17,Region 4,-1.2,10.8,12,11.6,5796,20348,40407,14.3,0.4,2024-02-26 14:36:00
GU,66,66,Guam,2024-02-17,6257,-100,0,0,0.1,-2,0,0,2024-02-17,-86.3%,Substantial Decrease (< -19.9%),0.2%,Minimal (< 1.5%),NA,NA,NA,NA,NA,NA,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-26 14:36:00
HI,15,15,Hawaii,2024-02-17,21781,1,102,7.2,2,-0.1,0.6,0.1,2024-02-17,-25.1%,Substantial Decrease (< -19.9%),1.5%,Low (1.5% to 2.9%),NA,34,1.5,2024-02-22,2068,103.2,2024-02-17,2024-02-17,Region 9,-2.6,6.3,9.3,9.9,3391,11857,26383,NA,NA,2024-02-26 14:36:00
IA,19,19,Iowa,2024-02-17,59285,-23.8,96,3.04,1.2,-0.1,0.6,-0.6,2024-02-17,-2.0%,Stable (-9.9% to 9.9%),1.4%,Minimal (< 1.5%),NA,323,7.7,2024-02-22,11618,281.4,2024-02-17,2024-02-17,Region 7,-0.3,8.2,8.7,9.2,6635,19432,36287,NA,NA,2024-02-26 14:36:00
ID,16,16,Idaho,2024-02-17,30426,-22.1,53,2.97,1.6,-0.1,1.5,0.2,2024-02-17,-20.9%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),NA,107,5.1,2024-02-22,5708,270.7,2024-02-17,2024-02-17,Region 10,-0.3,8.3,9.2,9.6,7436,16097,32459,NA,NA,2024-02-26 14:36:00
IL,17,17,Illinois,2024-02-17,250675,8.4,719,5.67,2.1,0,1.7,-0.4,2024-02-17,-11.1%,Moderate Decrease (-19.9% to -10.0%),1.7%,Low (1.5% to 2.9%),1.9,803,5.3,2024-02-22,41733,271.6,2024-02-17,2024-02-17,Region 5,-0.7,8.5,9.3,10,17772,63818,126610,-13.6,-0.3,2024-02-26 14:36:00
IN,18,18,Indiana,2024-02-17,149964,-6.6,298,4.43,1.5,-0.1,1.2,-0.2,2024-02-17,-12.1%,Moderate Decrease (-19.9% to -10.0%),1.5%,Low (1.5% to 2.9%),NA,603,7.7,2024-02-22,26976,339.9,2024-02-17,2024-02-17,Region 5,-0.7,8.5,9.3,10,17772,63818,126610,NA,NA,2024-02-26 14:36:00
KS,20,20,Kansas,2024-02-17,61457,3.4,121,4.15,1.2,-0.1,1.7,-0.1,2024-02-17,-6.6%,Stable (-9.9% to 9.9%),1.5%,Low (1.5% to 2.9%),NA,223,6.2,2024-02-22,10960,310.3,2024-02-17,2024-02-17,Region 7,-0.3,8.2,8.7,9.2,6635,19432,36287,NA,NA,2024-02-26 14:36:00
KY,21,21,Kentucky,2024-02-17,164044,9.6,286,6.4,1.9,0,1.8,-0.1,2024-02-17,-6.0%,Stable (-9.9% to 9.9%),2.1%,Low (1.5% to 2.9%),4.8,551,10.4,2024-02-22,20968,390.6,2024-02-17,2024-02-17,Region 4,-1.2,10.8,12,11.6,5796,20348,40407,26.3,1,2024-02-26 14:36:00
LA,22,22,Louisiana,2024-02-17,101585,-9.8,330,7.1,2.3,0,2.1,0.1,2024-02-17,-7.7%,Stable (-9.9% to 9.9%),2.7%,Low (1.5% to 2.9%),NA,207,4,2024-02-22,18095,338.5,2024-02-17,2024-02-17,Region 6,-2.2,8.6,11,10.7,12655,40326,75499,NA,NA,2024-02-26 14:36:00
MA,25,25,Massachusetts,2024-02-17,117472,-19.3,389,5.64,2.5,-0.3,2.1,-0.5,2024-02-17,-28.7%,Substantial Decrease (< -19.9%),1.2%,Minimal (< 1.5%),2.3,514,5.8,2024-02-22,21888,246,2024-02-17,2024-02-17,Region 1,-0.6,7.4,8.4,10.2,5724,12108,23863,-28.1,-0.9,2024-02-26 14:36:00
MD,24,24,Maryland,2024-02-17,104260,-5.8,276,4.57,2.9,-0.2,2.8,-0.1,2024-02-17,-3.0%,Stable (-9.9% to 9.9%),1.9%,Low (1.5% to 2.9%),NA,484,6.8,2024-02-22,18958,259.7,2024-02-17,2024-02-17,Region 3,-3.2,5.5,9,9.8,6628,10149,20630,NA,NA,2024-02-26 14:36:00
ME,23,23,Maine,2024-02-17,16826,-16.4,51,3.79,3,-0.2,4,0.8,2024-02-17,-22.8%,Substantial Decrease (< -19.9%),1.2%,Minimal (< 1.5%),NA,159,8.1,2024-02-22,3544,177.3,2024-02-17,2024-02-17,Region 1,-0.6,7.4,8.4,10.2,5724,12108,23863,NA,NA,2024-02-26 14:36:00
MI,26,26,Michigan,2024-02-17,209396,-7.4,540,5.41,2.7,-0.1,2.4,-0.1,2024-02-17,-5.1%,Stable (-9.9% to 9.9%),1.9%,Low (1.5% to 2.9%),2,881,7,2024-02-22,39137,307.7,2024-02-17,2024-02-17,Region 5,-0.7,8.5,9.3,10,17772,63818,126610,25,0.4,2024-02-26 14:36:00
MN,27,27,Minnesota,2024-02-17,86804,11,243,4.31,2.3,-0.2,1.7,-0.3,NA,NA,NA,NA,NA,1.7,480,6.9,2024-02-22,16356,236.5,2024-02-17,2024-02-17,Region 5,-0.7,8.5,9.3,10,17772,63818,126610,-56.4,-2.2,2024-02-26 14:36:00
MO,29,29,Missouri,2024-02-17,142139,-10.4,360,5.87,2.8,-0.2,2.6,-0.1,NA,NA,NA,NA,NA,NA,480,6.2,2024-02-22,23329,300.8,2024-02-17,2024-02-17,Region 7,-0.3,8.2,8.7,9.2,6635,19432,36287,NA,NA,2024-02-26 14:36:00
MP,69,69,Northern Mariana Islands,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-26 14:36:00
MS,28,28,Mississippi,2024-02-17,58732,-21.4,136,4.57,2.1,-0.7,2.4,-0.9,2024-02-17,-6.0%,Stable (-9.9% to 9.9%),2.5%,Low (1.5% to 2.9%),3.7,275,8.2,2024-02-22,15343,443.2,2024-02-17,2024-02-17,Region 4,-1.2,10.8,12,11.6,5796,20348,40407,60.9,1.4,2024-02-26 14:36:00
MT,30,30,Montana,2024-02-17,32057,-14.9,40,3.74,1,0.1,1.2,-0.1,2024-02-17,-3.1%,Stable (-9.9% to 9.9%),1.2%,Minimal (< 1.5%),0,71,4.9,2024-02-22,4018,278.9,2024-02-17,2024-02-17,Region 8,-0.5,6.4,8,8.3,3289,8470,17003,NA,NA,2024-02-26 14:36:00
NC,37,37,North Carolina,2024-02-17,181716,2.7,711,6.78,3.8,0,4,0.2,2024-02-17,-12.9%,Moderate Decrease (-19.9% to -10.0%),2.6%,Low (1.5% to 2.9%),2.3,765,6.2,2024-02-22,35353,282.6,2024-02-17,2024-02-17,Region 4,-1.2,10.8,12,11.6,5796,20348,40407,-37.8,-1.4,2024-02-26 14:36:00
ND,38,38,North Dakota,2024-02-17,16399,-13.3,39,5.12,1.4,-0.5,0.4,-0.6,2024-02-17,-33.4%,Substantial Decrease (< -19.9%),1.0%,Minimal (< 1.5%),0,40,4.3,2024-02-22,2719,291.6,2024-02-17,2024-02-17,Region 8,-0.5,6.4,8,8.3,3289,8470,17003,NA,NA,2024-02-26 14:36:00
NE,31,31,Nebraska,2024-02-17,34719,-32.6,87,4.5,1.7,-0.4,1.9,-0.4,2024-02-17,-22.7%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),NA,147,6.3,2024-02-22,5999,257.7,2024-02-17,2024-02-17,Region 7,-0.3,8.2,8.7,9.2,6635,19432,36287,NA,NA,2024-02-26 14:36:00
NH,33,33,New Hampshire,2024-02-17,20245,-11.7,68,5,2.2,-0.4,2.9,0.1,2024-02-17,-4.7%,Stable (-9.9% to 9.9%),1.2%,Minimal (< 1.5%),NA,114,6.1,2024-02-22,3482,189.4,2024-02-17,2024-02-17,Region 1,-0.6,7.4,8.4,10.2,5724,12108,23863,NA,NA,2024-02-26 14:36:00
NJ,34,34,New Jersey,2024-02-17,189250,-11.6,585,6.59,3.2,-0.7,2.1,-0.8,2024-02-17,-16.3%,Moderate Decrease (-19.9% to -10.0%),1.4%,Minimal (< 1.5%),2.7,659,5.7,2024-02-22,36406,311.3,2024-02-17,2024-02-17,Region 2,-1.2,7.7,9.4,11,1757,10061,22241,-35.7,-1.5,2024-02-26 14:36:00
NM,35,35,New Mexico,2024-02-17,40908,4.5,69,3.29,1.6,0,1.2,-0.3,2024-02-17,-1.5%,Stable (-9.9% to 9.9%),1.8%,Low (1.5% to 2.9%),NA,142,5.3,2024-02-22,9623,371.9,2024-02-17,2024-02-17,Region 6,-2.2,8.6,11,10.7,12655,40326,75499,NA,NA,2024-02-26 14:36:00
NV,32,32,Nevada,2024-02-17,67974,-18.1,113,3.67,1.5,-0.3,2.2,-0.5,2024-02-17,-16.5%,Moderate Decrease (-19.9% to -10.0%),0.7%,Minimal (< 1.5%),NA,145,4.3,2024-02-22,12228,341.4,2024-02-17,2024-02-17,Region 9,-2.6,6.3,9.3,9.9,3391,11857,26383,NA,NA,2024-02-26 14:36:00
NY,36,36,New York,2024-02-17,416340,-17.4,1303,6.7,3.5,-0.4,3.1,-0.4,2024-02-17,-19.5%,Moderate Decrease (-19.9% to -10.0%),1.2%,Minimal (< 1.5%),3,1483,5.7,2024-02-22,83740,323.8,2024-02-17,2024-02-17,Region 2,-1.2,7.7,9.4,11,1757,10061,22241,20,0.5,2024-02-26 14:36:00
NY-NYC,71,71,New York (excludes NYC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,968,6.2,2024-02-22,43566,282.5,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,0.8,2024-02-26 14:36:00
NYC,57,57,New York City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,515,4.9,2024-02-22,40174,385.4,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,0.2,2024-02-26 14:36:00
OH,39,39,Ohio,2024-02-17,281620,-8.2,570,4.88,1.5,-0.3,1.6,-0.2,2024-02-17,-4.5%,Stable (-9.9% to 9.9%),1.5%,Low (1.5% to 2.9%),NA,972,6.6,2024-02-22,51474,346,2024-02-17,2024-02-17,Region 5,-0.7,8.5,9.3,10,17772,63818,126610,NA,NA,2024-02-26 14:36:00
OK,40,40,Oklahoma,2024-02-17,115877,-10.2,237,5.99,2.3,-0.3,2.6,-0.4,NA,NA,NA,NA,NA,4.9,390,8.6,2024-02-22,20216,441,2024-02-17,2024-02-17,Region 6,-2.2,8.6,11,10.7,12655,40326,75499,36.1,1.3,2024-02-26 14:36:00
OR,41,41,Oregon,2024-02-17,51438,2.5,165,3.91,2.3,-0.1,1.6,-0.3,2024-02-17,-1.1%,Stable (-9.9% to 9.9%),1.5%,Low (1.5% to 2.9%),NA,187,3.6,2024-02-22,9764,185.8,2024-02-17,2024-02-17,Region 10,-0.3,8.3,9.2,9.6,7436,16097,32459,NA,NA,2024-02-26 14:36:00
PA,42,42,Pennsylvania,2024-02-17,266474,2.6,763,5.96,2.2,0,2.2,0.1,2024-02-17,-8.4%,Stable (-9.9% to 9.9%),1.4%,Minimal (< 1.5%),2.2,1147,6.4,2024-02-22,54728,306.5,2024-02-17,2024-02-17,Region 3,-3.2,5.5,9,9.8,6628,10149,20630,-8.3,-0.2,2024-02-26 14:36:00
PR,72,72,Puerto Rico,2024-02-17,31450,3.9,160,5.01,1.2,-0.2,1.3,-0.4,NA,NA,NA,NA,NA,7,163,2.8,2024-02-22,6703,126.9,2024-02-17,2024-02-17,Region 2,-1.2,7.7,9.4,11,1757,10061,22241,84.2,3.2,2024-02-26 14:36:00
PW,70,70,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-26 14:36:00
RI,44,44,Rhode Island,2024-02-17,14717,-28.1,46,4.34,1.5,-0.6,0.8,-0.8,2024-02-17,-55.2%,Substantial Decrease (< -19.9%),0.7%,Minimal (< 1.5%),NA,70,4.8,2024-02-22,4111,277.8,2024-02-17,2024-02-17,Region 1,-0.6,7.4,8.4,10.2,5724,12108,23863,NA,NA,2024-02-26 14:36:00
RMI,68,68,Republic of Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-26 14:36:00
SC,45,45,South Carolina,2024-02-17,102486,-3.1,409,7.94,3.1,-0.1,2,-0.4,2024-02-17,-11.6%,Moderate Decrease (-19.9% to -10.0%),2.8%,Low (1.5% to 2.9%),2.9,374,6,2024-02-22,21983,339.8,2024-02-17,2024-02-17,Region 4,-1.2,10.8,12,11.6,5796,20348,40407,11.5,0.3,2024-02-26 14:36:00
SD,46,46,South Dakota,2024-02-17,21138,-7.9,58,6.56,2,-0.2,2.2,0.1,2024-02-17,-23.0%,Substantial Decrease (< -19.9%),1.1%,Minimal (< 1.5%),0,59,5.4,2024-02-22,3397,310.4,2024-02-17,2024-02-17,Region 8,-0.5,6.4,8,8.3,3289,8470,17003,NA,NA,2024-02-26 14:36:00
TN,47,47,Tennessee,2024-02-17,139586,25.8,405,5.93,1.8,0.1,1.6,0.2,2024-02-17,14.5%,Moderate Increase (10.0% to 19.9%),2.2%,Low (1.5% to 2.9%),2.4,555,6.8,2024-02-22,29696,358.2,2024-02-17,2024-02-17,Region 4,-1.2,10.8,12,11.6,5796,20348,40407,-11.1,-0.3,2024-02-26 14:36:00
TX,48,48,Texas,2024-02-17,643700,-7.7,1756,6.06,3,-0.2,3.5,-0.1,2024-02-17,-20.7%,Substantial Decrease (< -19.9%),2.0%,Low (1.5% to 2.9%),2.5,1052,3.9,2024-02-22,104421,363.5,2024-02-17,2024-02-17,Region 6,-2.2,8.6,11,10.7,12655,40326,75499,4.2,0.1,2024-02-26 14:36:00
USA,0,00,United States of America,2024-02-17,6834006,-5.7,18977,5.72,2.5,-0.2,2.3,-0.1,2024-02-17,-12.4%,Moderate Decrease (-19.9% to -10.0%),1.7%,Low (1.5% to 2.9%),2.4,21358,5.4,2024-02-22,1180042,295.4,2024-02-17,2024-02-17,National,-1.3,8.1,9.7,10.2,71083,212666,421382,-11.1,-0.3,2024-02-26 14:36:00
UT,49,49,Utah,2024-02-17,50774,-13.8,100,3.12,1.4,-0.1,1.2,-0.5,2024-02-17,-4.8%,Stable (-9.9% to 9.9%),1.2%,Minimal (< 1.5%),NA,99,3.7,2024-02-22,5719,204.7,2024-02-17,2024-02-17,Region 8,-0.5,6.4,8,8.3,3289,8470,17003,NA,NA,2024-02-26 14:36:00
VA,51,51,Virginia,2024-02-17,134927,4.4,595,6.97,2.6,0,2.9,-0.3,2024-02-17,-3.7%,Stable (-9.9% to 9.9%),2.1%,Low (1.5% to 2.9%),2.7,674,6.8,2024-02-22,24716,246.4,2024-02-17,2024-02-17,Region 3,-3.2,5.5,9,9.8,6628,10149,20630,-25,-0.9,2024-02-26 14:36:00
VI,78,78,Virgin Islands,2024-02-17,628,-100,0,0,0.6,0.3,5.9,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-17,2024-02-17,Region 2,-1.2,7.7,9.4,11,1757,10061,22241,NA,NA,2024-02-26 14:36:00
VT,50,50,Vermont,2024-02-17,7231,-10.3,26,4.17,1.9,-0.6,1.3,-0.7,2024-02-17,-19.1%,Moderate Decrease (-19.9% to -10.0%),1.3%,Minimal (< 1.5%),NA,62,7,2024-02-22,1139,130.6,2024-02-17,2024-02-17,Region 1,-0.6,7.4,8.4,10.2,5724,12108,23863,NA,NA,2024-02-26 14:36:00
WA,53,53,Washington,2024-02-17,84133,-15.3,282,3.7,2.8,-0.3,2.1,-0.1,2024-02-17,-16.3%,Moderate Decrease (-19.9% to -10.0%),1.8%,Low (1.5% to 2.9%),NA,364,4.4,2024-02-22,15785,182.1,2024-02-17,2024-02-17,Region 10,-0.3,8.3,9.2,9.6,7436,16097,32459,NA,NA,2024-02-26 14:36:00
WI,55,55,Wisconsin,2024-02-17,136359,-10.8,306,5.26,2.4,-0.1,2.4,-0.3,2024-02-17,-10.5%,Moderate Decrease (-19.9% to -10.0%),1.7%,Low (1.5% to 2.9%),2.2,420,5.7,2024-02-22,17835,241,2024-02-17,2024-02-17,Region 5,-0.7,8.5,9.3,10,17772,63818,126610,0,0,2024-02-26 14:36:00
WV,54,54,West Virginia,2024-02-17,47030,-1,100,5.58,2.4,-0.1,2.5,-0.1,2024-02-17,-14.2%,Moderate Decrease (-19.9% to -10.0%),1.3%,Minimal (< 1.5%),NA,205,8.2,2024-02-22,9016,362.4,2024-02-17,2024-02-17,Region 3,-3.2,5.5,9,9.8,6628,10149,20630,NA,NA,2024-02-26 14:36:00
WY,56,56,Wyoming,2024-02-17,12130,-9.5,19,3.28,0.8,-0.1,0,-1.7,2024-02-17,5.7%,Stable (-9.9% to 9.9%),1.4%,Minimal (< 1.5%),NA,52,7.7,2024-02-22,2238,318.1,2024-02-17,2024-02-17,Region 8,-0.5,6.4,8,8.3,3289,8470,17003,NA,NA,2024-02-26 14:36:00
AK,2,02,Alaska,2024-02-10,10382,-10.9,49,6.7,2.8,0.3,1,0.2,2024-02-10,-29.3%,Substantial Decrease (< -19.9%),2.8%,Low (1.5% to 2.9%),0,NA,NA,2024-02-15,1556,233.6,2024-02-10,2024-02-10,Region 10,-1.2,8.6,9.9,10.1,7726,16474,33620,NA,0,2024-02-15 15:39:00
